# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-17 09:28:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/dupa/LAB_01/samples/code_4-20230317092841_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-0.762451,0.348992,0.857168,2,3,0,0.824704,0.450466
-1.08465,0.98009,0.857168,2,3,0,1.10752,0.8306
-1.2612,0.665111,0.857168,1,3,1,1.26149,1.01119
-1.20958,1,0.857168,1,1,0,1.27994,0.959369
-1.05159,1,0.857168,1,1,0,1.20501,0.795525
-0.652585,0.5,0.857168,1,2,1,1.18581,0.208611
-0.792144,0.475611,0.857168,1,2,1,0.830567,0.491764
-0.729169,1,0.857168,1,1,0,0.786676,0.400154
-0.681449,0.986966,0.857168,2,3,0,0.90921,0.312581
-0.669297,0.981503,0.857168,2,3,0,0.842376,0.282917
-1.04414,0.46263,0.857168,1,2,1,1.2279,0.787546
-0.928046,1,0.857168,1,1,0,1.04033,0.659044
-0.656063,0.5,0.857168,1,2,1,0.966866,0.236427
-0.656063,0.882924,0.857168,1,3,0,1.21432,0.236427
-0.656063,0,0.857168,0,1,1,1.83479,0.236427
-0.656063,0,0.857168,0,1,1,0.892844,0.236427
-0.656063,0,0.857168,0,1,1,0.948661,0.236427
-0.752184,0.48662,0.857168,1,2,1,0.763483,0.435491
-0.652416,0.992192,0.857168,2,3,0,0.840246,0.204297
-0.652416,0,0.857168,0,1,1,0.854337,0.204297
-1.15879,0.818966,0.857168,1,3,0,1.59942,0.907654
-1.11011,1,0.857168,1,1,0,1.17623,0.857289
-0.735919,0.5,0.857168,1,2,1,1.19596,0.410811
-0.822149,0.997062,0.857168,2,3,0,0.822276,0.531193
-0.822149,0,0.857168,0,1,1,3.68149,0.531193
-0.820568,1,0.857168,1,1,0,0.846493,0.529163
-0.755867,1,0.857168,1,1,0,0.817105,0.440911
-1.06597,0.486648,0.857168,1,2,1,1.13442,0.810834
-0.79179,0.5,0.857168,1,2,1,1.08658,0.491286
-1.40401,0.476469,0.857168,1,2,1,1.76268,1.1514
-0.677247,0.5,0.857168,1,2,1,1.94737,0.30298
-1.64411,0.408242,0.857168,1,2,1,2.85934,1.37966
-1.31927,0.666667,0.857168,1,3,1,1.66555,1.0687
-0.822726,0.5,0.857168,1,2,1,1.49061,0.531933
-0.822726,0,0.857168,0,1,1,2.20671,0.531933
-1.60776,0.941467,0.857168,1,3,0,2.21735,1.34557
-0.663797,0.5,0.857168,1,2,1,2.58667,0.266747
-0.663797,0,0.857168,0,1,1,4.48367,0.266747
-0.724226,0.477109,0.857168,2,3,0,0.725063,0.392168
-0.669406,0.971853,0.857168,1,3,0,0.712871,0.283215
-0.669406,0,0.857168,0,1,1,0.799789,0.283215
-0.669406,0,0.857168,0,1,1,0.799428,0.283215
-1.21963,0.443882,0.857168,1,2,1,1.62833,0.969512
-1.2796,0.998743,0.857168,1,1,0,1.29697,1.0295
-0.779581,0.998046,0.857168,1,3,0,1.46496,0.474614
-0.728649,0.996314,0.857168,1,3,0,0.741096,0.0815078
-0.686002,0.932225,0.857168,2,3,0,0.6865,0.322424
-1.07019,0.937773,0.857168,1,3,0,1.24,0.815318
-1.20332,0.996292,0.857168,1,1,0,1.20437,0.953032
-1.51616,0.664571,0.857168,1,3,1,1.54203,1.25899
-2.26321,0.851373,0.857168,2,7,1,2.63617,1.94346
-1.38932,0.5,0.857168,1,2,1,2.8263,1.13716
-1.70612,0.665151,0.857168,1,3,1,1.72829,1.43748
-0.923482,0.5,0.857168,1,2,1,2.21824,0.653793
-1.06173,0.994197,0.857168,1,1,0,1.06175,0.806334
-0.952053,1,0.857168,1,1,0,1.05943,0.686377
-0.850351,1,0.857168,2,3,0,0.947485,0.566693
-1.85608,0.466536,0.857168,1,2,1,2.88618,1.57582
-1.39271,0.666667,0.857168,1,3,1,1.94627,1.14046
-1.34048,1,0.857168,1,1,0,1.41365,1.08953
-1.50083,0.997449,0.857168,1,1,0,1.50141,1.2444
-0.874923,0.5,0.857168,1,2,1,1.80366,0.596655
-1.11307,0.996151,0.857168,1,3,0,1.1294,0.860378
-0.661797,1,0.857168,2,3,0,1.03382,0.2601
-0.661797,0.30224,0.857168,1,1,0,0.709965,0.2601
-0.850741,0.478428,0.857168,1,2,1,0.895503,0.567175
-0.786077,1,0.857168,1,1,0,0.84958,0.483536
-0.892323,0.997356,0.857168,2,3,0,0.892389,0.617416
-0.683474,0.5,0.857168,1,2,1,0.897312,0.317023
-0.657392,1,0.857168,2,3,0,0.666767,0.162509
-0.657392,0,0.857168,0,1,1,0.858456,0.162509
-0.657392,0,0.857168,0,1,1,0.859027,0.162509
-0.70927,0.929624,0.857168,2,3,0,0.831473,0.366863
-0.70927,0,0.857168,0,1,1,0.920279,0.366863
-0.861381,0.490829,0.857168,1,2,1,0.870341,0.580244
-0.861381,0.951314,0.857168,1,3,0,2.13919,0.580244
-0.861381,0,0.857168,0,1,1,1.87902,0.580244
-0.670558,0.996494,0.857168,1,3,0,0.847097,0.133068
-0.766298,0.30682,0.857168,2,3,0,0.830257,0.455975
-1.55814,0.46318,0.857168,1,2,1,2.22711,1.2988
-0.884318,1,0.857168,2,3,0,1.5309,0.607908
-1.05981,0.993273,0.857168,2,3,0,1.13112,0.804284
-1.7504,0.976922,0.857168,1,3,0,2.11814,1.47853
-1.23552,0.666667,0.857168,1,3,1,1.88791,0.98549
-1.23552,0.995791,0.857168,1,3,0,2.10374,0.98549
-1.39021,0.997016,0.857168,1,1,0,1.39074,1.13803
-1.02267,0.666667,0.857168,1,3,1,1.4404,0.764405
-1.02267,3.52201e-24,0.857168,1,1,0,1.57305,0.764405
-1.02267,0,0.857168,0,1,1,1.69376,0.764405
-1.00088,1,0.857168,1,1,0,1.04717,0.740666
-0.699298,0.5,0.857168,1,2,1,0.985453,0.101091
-3.76125,0.157294,0.857168,2,4,1,5.89485,3.24439
-3.73426,0.999433,0.857168,2,3,0,4.26714,3.22137
-1.77516,0.75,0.857168,2,4,1,4.05624,1.50141
-1.73192,1,0.857168,1,1,0,1.80429,1.46142
-2.4785,0.664262,0.857168,1,3,1,2.83172,2.13444
-1.63444,0.666667,0.857168,1,3,1,2.96686,1.3706
-1.03255,0.5,0.857168,1,2,1,1.87774,0.775078
-1.03255,0,0.857168,0,1,1,2.0472,0.775078
-1.03255,0,0.857168,0,1,1,4.20541,0.775078
-1.151,0.996342,0.857168,1,1,0,1.15306,0.89965
-0.862071,0.5,0.857168,1,2,1,1.17318,0.581085
-1.54823,0.957816,0.857168,1,3,0,1.97501,1.28942
-2.08821,0.66457,0.857168,1,3,1,2.23519,1.78663
-2.01593,1,0.857168,1,1,0,2.10912,1.72137
-2.48255,0.994552,0.857168,3,7,0,3.64586,2.13801
-2.92882,0.999447,0.857168,3,7,0,2.98166,2.52859
-1.23643,0.857029,0.857168,2,7,1,3.1335,0.986412
-0.833371,0.5,0.857168,1,2,1,1.32631,0.545478
-1.00779,0.881286,0.857168,2,3,0,1.45309,0.748226
-1.00779,0,0.857168,0,1,1,2.83754,0.748226
-1.05975,0.998192,0.857168,1,1,0,1.07483,0.804221
-0.721898,0.992111,0.857168,1,3,0,1.01276,0.0853727
-0.721898,0,0.857168,0,1,1,2.28739,0.0853727
-1.52961,0.1652,0.857168,1,2,1,3.06732,1.27177
-2.07868,0.664471,0.857168,1,3,1,2.23442,1.77804
-1.43116,0.666667,0.857168,1,3,1,2.32952,1.17763
-0.652508,0.5,0.857168,1,2,1,2.08815,0.193196
-0.669213,0.993574,0.857168,2,3,0,0.669512,0.135262
-0.669213,0.691154,0.857168,1,3,0,1.33065,0.135262
-1.30954,0.31058,0.857168,1,2,1,2.16732,1.05912
-1.18266,1,0.857168,1,1,0,1.30938,0.932052
-1.08622,0.999143,0.857168,2,3,0,1.29884,0.832256
-0.929213,0.99932,0.857168,2,3,0,1.16132,0.660384
-1.06909,0.986855,0.857168,2,3,0,1.36613,0.814149
-0.717852,0.5,0.857168,1,2,1,1.03737,0.0878449
-0.717852,0,0.857168,0,1,1,1.72517,0.0878449
-3.28241,0.158637,0.857168,2,4,1,4.77866,2.83428
-2.33165,0.999954,0.857168,3,7,0,3.41594,2.00439
-2.42143,0.99942,0.857168,2,3,0,2.59249,2.08401
-1.96553,0.666667,0.857168,1,3,1,2.49137,1.67567
-2.01229,0.999662,0.857168,1,1,0,2.04228,1.71808
-1.89363,1,0.857168,1,1,0,2.02001,1.61017
-1.70723,1,0.857168,1,1,0,1.89206,1.4385
-1.73249,0.99975,0.857168,1,1,0,1.76906,1.46195
-2.42396,0.853588,0.857168,2,7,1,2.71032,2.08624
-1.74209,0.666667,0.857168,1,3,1,2.69237,1.47084
-2.00927,0.998191,0.857168,2,3,0,2.1001,1.71533
-2.23837,0.998764,0.857168,2,3,0,2.34823,1.92129
-2.15772,1,0.857168,2,3,0,2.25744,1.84911
-0.65988,0.856647,0.857168,2,7,1,2.04276,0.154869
-0.65988,0,0.857168,0,1,1,1.1721,0.154869
-0.653468,1,0.857168,1,1,0,0.656897,0.181751
-0.694348,0.95602,0.857168,1,1,0,0.712682,0.105311
-0.669836,1,0.857168,1,1,0,0.695539,0.134233
-0.715812,0.957747,0.857168,2,3,0,0.747873,0.378165
-0.715812,0,0.857168,0,1,1,4.38422,0.378165
-0.715812,0,0.857168,0,1,1,1.41323,0.378165
-0.715812,0.437867,0.857168,1,2,1,2.55858,0.378165
-0.715812,0,0.857168,0,1,1,0.858727,0.378165
-0.76635,0.993689,0.857168,1,1,0,0.768614,0.456049
-0.875433,0.978168,0.857168,2,3,0,1.12715,0.597269
-1.02045,0.664276,0.857168,1,3,1,1.02065,0.762
-1.13019,0.996483,0.857168,1,1,0,1.13315,0.878171
-0.718491,0.998503,0.857168,1,3,0,1.25029,0.382683
-0.844145,0.602701,0.857168,2,3,0,1.13121,0.0421869
-0.844145,0,0.857168,0,1,1,4.26025,0.0421869
-0.70191,0.163697,0.857168,3,7,0,2.72162,0.353624
-0.673557,1,0.857168,2,3,0,0.681847,0.128536
-0.673557,0,0.857168,0,1,1,1.01872,0.128536
-0.86101,0.902234,0.857168,2,3,0,0.862428,0.57979
-0.674321,0.5,0.857168,1,2,1,0.842103,0.12745
-0.654036,1,0.857168,1,1,0,0.662335,0.224062
-0.763186,0.9227,0.857168,2,3,0,0.852869,0.451523
-2.44295,0.774692,0.857168,2,7,1,2.75893,2.10304
-2.2605,1,0.857168,1,1,0,2.44302,1.94104
-3.62735,0.663595,0.857168,1,3,1,5.11456,3.13009
-3.68775,0.99978,0.857168,2,3,0,3.8874,3.18168
-4.51671,0.998668,0.857168,2,3,0,4.51939,3.88478
-0.66424,0.75,0.857168,2,4,1,4.68395,0.268151
-0.66424,0,0.857168,0,1,1,0.766885,0.268151
-0.66424,0,0.857168,0,1,1,0.9696,0.268151
-1.31329,0.848815,0.857168,1,3,0,1.90246,1.06282
-1.46837,0.999136,0.857168,2,3,0,1.46917,1.21338
-0.922701,0.5,0.857168,1,2,1,1.66932,0.652892
-0.922701,0,0.857168,0,1,1,1.38073,0.652892
-0.964088,0.989866,0.857168,2,3,0,1.29104,0.699909
-0.907663,1,0.857168,1,1,0,1.23558,0.0309309
-3.21276,0.423008,0.857168,2,7,0,4.70819,2.77429
-5.10157,0.99588,0.857168,3,7,0,5.78436,4.3765
-5.54758,0.999681,0.857168,2,3,0,5.6149,4.74968
-5.40139,1,0.857168,2,3,0,5.55634,4.62752
-4.06424,0.8,0.857168,2,5,1,5.44068,3.50206
-3.08916,0.999968,0.857168,3,7,0,4.2059,2.66756
-2.90257,1,0.857168,2,3,0,3.08997,2.50578
-2.76139,1,0.857168,1,1,0,2.90907,2.38276
-3.1634,0.998011,0.857168,2,3,0,3.48698,2.73171
-0.958028,0.749651,0.857168,2,4,1,3.71102,0.693109
-0.752408,0.5,0.857168,1,2,1,0.957972,0.435822
-0.752408,0,0.857168,0,1,1,2.23457,0.435822
-0.752408,0,0.857168,0,1,1,1.02109,0.435822
-0.769553,0.99822,0.857168,1,1,0,0.782505,0.460595
-1.733,0.454101,0.857168,1,2,1,2.75007,1.46242
-1.62761,1,0.857168,1,1,0,1.7418,1.3642
-0.986152,0.5,0.857168,1,2,1,1.92507,0.724455
-1.22097,0.664025,0.857168,1,3,1,1.23093,0.970857
-0.652991,0.5,0.857168,1,2,1,1.54545,0.21456
-0.667646,0.98662,0.857168,2,3,0,0.687134,0.137964
-0.876764,0.425023,0.857168,1,2,1,1.03314,0.598868
-0.876399,1,0.857168,1,1,0,0.90537,0.59843
-0.694709,0.5,0.857168,1,2,1,0.872645,0.340013
-0.825548,0.62827,0.857168,2,3,0,1.05905,0.0464159
-0.825548,0.0412279,0.857168,2,4,1,2.09209,0.0464159
-0.795757,0.955707,0.857168,1,1,0,0.955637,0.49662
-0.735246,1,0.857168,1,1,0,0.7914,0.40976
-0.665811,0.363901,0.857168,2,3,0,0.721442,0.272971
-0.906602,0.937618,0.857168,2,3,0,1.07063,0.634205
-0.910463,0.999802,0.857168,1,1,0,0.9392,0.638709
-1.35293,0.98522,0.857168,2,3,0,1.36994,1.10171
-1.31602,1,0.857168,1,1,0,1.37923,1.06551
-0.715609,0.5,0.857168,1,2,1,1.6434,0.377819
-0.767265,0.993552,0.857168,1,1,0,0.769369,0.457351
-0.767265,0,0.857168,0,1,1,3.673,0.457351
-0.758818,0.978177,0.857168,2,3,0,0.759412,0.0672822
-0.758818,0.261729,0.857168,2,4,1,1.25004,0.0672822
-0.758818,0.00124616,0.857168,1,1,0,1.0766,0.0672822
-1.08002,0.501523,0.857168,1,3,0,1.62307,0.82572
-1.25718,0.990217,0.857168,2,3,0,1.57063,1.00717
-1.06117,0.666667,0.857168,1,3,1,1.25354,0.805741
-1.14747,0.997471,0.857168,1,1,0,1.15508,0.896012
-1.14747,0,0.857168,0,1,1,2.40821,0.896012
-1.13653,1,0.857168,1,1,0,1.18108,0.88473
-0.672229,1,0.857168,2,3,0,1.06866,0.290669
-0.925772,0.476393,0.857168,1,2,1,0.999385,0.65643
-1.18411,0.719901,0.857168,1,3,0,1.20359,0.933535
-0.99083,0.666667,0.857168,1,3,1,1.18009,0.729617
-0.949525,0.756021,0.857168,1,1,0,1.73087,0.0254556
-2.87922,0.0449674,0.857168,3,7,0,3.99151,2.48547
-2.2524,1,0.857168,2,3,0,2.89292,1.93382
-2.46538,0.999054,0.857168,2,3,0,2.58564,2.12286
-1.76129,0.999337,0.857168,1,3,0,2.75801,1.4886
-1.42424,0.666667,0.857168,1,3,1,1.78524,1.17095
-1.38529,1,0.857168,1,1,0,1.45088,1.13325
-1.71484,0.665079,0.857168,1,3,1,1.74154,1.44557
-1.82022,0.999007,0.857168,1,1,0,1.83072,1.54291
-1.76747,1,0.857168,1,1,0,1.84605,1.4943
-1.04215,1,0.857168,2,3,0,1.74893,0.785406
-0.719068,0.5,0.857168,1,2,1,1.09686,0.383648
-0.770051,0.968074,0.857168,2,3,0,0.856135,0.461299
-0.86393,0.992281,0.857168,1,1,0,0.864247,0.58335
-1.18581,0.491806,0.857168,1,2,1,1.23926,0.935265
-1.43303,0.664948,0.857168,1,3,1,1.44074,1.17943
-2.10468,0.972204,0.857168,3,7,0,4.52186,1.80146
-2.09664,1,0.857168,1,1,0,2.15201,1.79423
-2.29656,0.99895,0.857168,2,3,0,2.41873,1.97318
-1.5267,0.666667,0.857168,1,3,1,2.68913,1.26901
-2.0268,0.664682,0.857168,1,3,1,2.14333,1.7312
-2.88684,0.992946,0.857168,1,3,0,3.37495,2.49209
-3.09278,0.999343,0.857168,1,1,0,3.09306,2.67069
-2.95757,1,0.857168,1,1,0,3.10085,2.55355
-3.13645,0.999818,0.857168,2,3,0,3.13858,2.70843
-3.01217,1,0.857168,1,1,0,3.14693,2.60091
-0.7318,0.75,0.857168,2,4,1,1.91398,0.0798044
-0.703492,0.903291,0.857168,2,3,0,0.723014,0.356521
-1.06522,0.476502,0.857168,1,2,1,1.19786,0.810038
-1.01598,1,0.857168,2,3,0,1.07968,0.757145
-1.00264,0.993252,0.857168,2,3,0,1.37252,0.742588
-0.680562,0.5,0.857168,1,2,1,1.03123,0.119409
-0.701466,0.919558,0.857168,2,3,0,0.800722,0.352804
-0.701466,0,0.857168,0,1,1,0.881247,0.352804
-0.701466,0,0.857168,0,1,1,0.951175,0.352804
-0.762833,0.991483,0.857168,1,1,0,0.763291,0.451016
-0.762833,0,0.857168,0,1,1,2.39745,0.451016
-0.762833,0,0.857168,0,1,1,1.29403,0.451016
-0.762833,0,0.857168,0,1,1,1.36766,0.451016
-0.762833,0,0.857168,0,1,1,1.50284,0.451016
-0.790746,0.999119,0.857168,2,3,0,0.801385,0.489877
-0.773923,1,0.857168,1,1,0,0.804202,0.466743
-0.773923,0,0.857168,0,1,1,1.01858,0.466743
-0.999871,0.491345,0.857168,1,2,1,1.02196,0.739555
-1.45836,0.492327,0.857168,1,2,1,1.58563,1.20378
-1.32128,1,0.857168,1,1,0,1.45851,1.07068
-1.26868,1,0.857168,1,1,0,1.34084,1.01864
-1.40311,0.997545,0.857168,1,1,0,1.40549,1.15053
-2.13418,0.987511,0.857168,1,3,0,2.49871,1.82798
-1.61674,1,0.857168,2,3,0,2.15541,1.35401
-1.41816,0.666667,0.857168,1,3,1,1.6142,1.16509
-1.53898,0.998284,0.857168,1,1,0,1.54436,1.28066
-1.12321,0.666667,0.857168,1,3,1,1.61147,0.870924
-2.08819,0.969143,0.857168,1,3,0,2.892,1.78662
-1.16908,0.997507,0.857168,1,3,0,2.76738,0.918191
-1.055,1,0.857168,1,1,0,1.16859,0.799164
-1.02225,1,0.857168,1,1,0,1.07575,0.763946
-1.02225,0,0.857168,0,1,1,1.65654,0.763946
-0.994911,1,0.857168,1,1,0,1.04419,0.734109
-0.971383,1,0.857168,1,1,0,1.01752,0.708061
-0.757098,0.5,0.857168,1,2,1,0.973416,0.442711
-0.757098,0,0.857168,0,1,1,0.937964,0.442711
-0.757098,0,0.857168,0,1,1,2.85067,0.442711
-0.875207,0.656794,0.857168,1,1,0,1.30624,0.0361499
-1.05516,0.503294,0.857168,1,1,0,1.60985,0.799333
-1.05273,1,0.857168,1,1,0,1.09039,0.796737
-0.743724,0.5,0.857168,1,2,1,1.09516,0.422815
-0.961505,0.489974,0.857168,1,2,1,0.98538,0.697014
-0.999954,0.997306,0.857168,2,3,0,1.12715,0.739646
-0.652472,0.5,0.857168,1,2,1,1.08969,0.194049
-0.900225,0.451531,0.857168,1,2,1,1.02772,0.626733
-1.09047,0.663842,0.857168,1,3,1,1.09451,0.836722
-0.674218,0.5,0.857168,1,2,1,1.19977,0.127594
-0.674218,0,0.857168,0,1,1,1.25056,0.127594
-0.674218,0,0.857168,0,1,1,1.14517,0.127594
-0.674218,0,0.857168,0,1,1,4.42451,0.127594
-0.674218,0,0.857168,0,1,1,2.29992,0.127594
-0.652399,0.996252,0.857168,2,3,0,0.670717,0.196483
-0.652399,0,0.857168,0,1,1,3.95243,0.196483
-1.17548,0.802094,0.857168,1,3,0,1.65613,0.924735
-0.999058,0.666667,0.857168,1,3,1,1.17046,0.738664
-1.7017,0.981605,0.857168,2,3,0,1.70176,1.43336
-1.28227,0.998864,0.857168,2,3,0,1.9453,1.03215
-1.13884,0.999394,0.857168,2,3,0,1.38493,0.887113
-1.55211,0.992995,0.857168,2,3,0,1.58489,1.2931
-1.575,0.99972,0.857168,1,1,0,1.61093,1.31473
-0.791847,0.5,0.857168,1,2,1,2.13922,0.491364
-1.29148,0.481496,0.857168,1,2,1,1.5109,1.04127
-1.54737,0.992519,0.857168,2,3,0,1.85833,1.28861
-2.24907,0.745319,0.857168,2,4,1,2.56166,1.93085
-1.84157,0.666667,0.857168,1,3,1,2.2957,1.56251
-2.89746,0.663357,0.857168,1,3,1,3.7379,2.50133
-2.14911,0.749748,0.857168,2,4,1,3.22326,1.84139
